noncompliance,股东权益/负债合计_EquTotLia,股东类别_SHType,每股收益(元/股)_BasicEPS,每股经营活动现金流量(元/股)_OpeCFPS,营业利润/营业总收入()_OpePrTOR,净利润()_NetPrf,有形净值债务率(%)_DbTanEquRt,每股现金及现金等价物余额(元/股)_CCEPS,资产负债率(%)_DbAstRt,经营现金净流量(元)_NOCF,股东总户数(户)_SHNum,利润总额增长率(%)_TotPrfGrRt,营业收入增长率(%)_OpeIncmGrRt,户均持股数(股/户)_AvgHS,每股资本公积金(元/股)_CapSurFdPS,股东权益周转率(次)_EquRat,产权比率(%)_DbEquRt,权益乘数(%)_EquMul,营业收入3年复合增长率(%)_OperaInc3GrRt
0.0,74.9652,0,0.27,-0.2114,21.9443,145514439.79,166.7118,1.0313,56.2002,-117429491.0,53669.0,36.3417,72.9053,10029.0,0.6461,0.7094,128.3118,2.2831,36.5939
0.0,54.0563,1,0.01,0.2832,-0.538,5837230.21,198.6642,0.3529,63.7231,130295982.45,20162.0,-86.3358,-37.375,22821.0,2.3585,2.0773,175.6577,2.7566,40.4154
0.0,416.8532,0,1.12,1.075,15.4598,50266040.98,25.5899,0.9862,19.3479,48374383.49,38.0,29.3772,8.2543,1184211.0,3.923,1.2373,23.9893,1.2399,8.1344
0.0,395.3407,0,0.07,0.2239,-1.7172,10576605.27,106.7831,0.4639,19.7284,52372613.64,8131.0,105.0588,-8.9998,18128.0,6.6111,0.3204,24.577,1.2458,4.1694
0.0,137.688,1,0.1,0.3716,10.3652,308158527.09,82.022,0.2228,39.5277,1142763281.01,193413.0,-46.076,-13.8816,15902.0,0.961,0.4364,65.3649,1.6536,-3.0139
0.0,648.3706,0,1.1896,1.1755,11.5677,178434816.13,15.7542,1.7669,13.2661,188079404.36,17881.0,19.9807,10.374,8948.0,6.0666,1.3862,15.2952,1.153,11.5315
0.0,103.6468,0,2.35,5.0785,7.8685,1542754214.39,113.4298,2.6313,49.0878,3419635779.16,34870.0,27.6752,18.834,19311.0,2.165,1.9317,96.4167,1.9642,15.561
0.0,45.1424,0,1.85,-0.9533,4.0549,208378346.74,240.601,6.1368,68.394,-107245751.27,9518.0,24.539,15.0709,11820.0,5.2789,5.238,216.3951,3.164,22.2941
0.0,176.3478,1,0.15,0.104,1.734,80189714.61,60.4687,1.4952,36.1615,57302760.8,32110.0,6.6271,2.7728,17157.0,1.0151,0.8377,56.6454,1.5665,6.6389
0.0,409.4749,0,0.26,0.2858,31.0935,110844429.92,27.0128,0.5603,19.3698,120734268.68,26055.0,5.8297,22.2835,16213.0,0.0562,0.5333,24.023,1.2402,21.0297
0.0,95.3227,0,0.2,0.1534,7.5783,341173925.93,154.2917,0.7671,49.405,264332174.67,63253.0,7.5754,10.5533,27237.0,0.6563,1.3719,97.648,1.9765,21.0437
0.0,103.1844,0,0.35,0.546,28.6002,162533710.56,443.9723,0.3174,47.4391,255532732.96,5.0,-22.2983,-10.6023,93600000.0,0.021,0.5903,90.2555,1.9026,-6.8803
0.0,4.8996,0,-1.61,-1.0138,-2.0986,-250385277.59,3099.9006,1.9674,84.2534,-158153632.53,23043.0,-3915.4399,182.6098,6770.0,0.3128,82.0457,535.0561,6.3506,181.7978
0.0,233.5362,0,1.29,1.1757,21.4893,154971075.51,45.1453,1.0801,29.9818,141081601.83,15.0,11.3968,6.6514,8000000.0,0.7589,1.4851,42.8199,1.4282,11.2485
0.0,89.9329,0,-0.28,0.7384,-5.0877,-57279608.93,143.2965,0.2207,50.7829,152260862.7,28814.0,-594.9004,-23.1543,7156.0,1.1855,1.4985,103.1812,2.0318,-6.2657
